"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Henderson, Gunnar","683002","240","10.1",34.2,"113.1","94","104.1","96.6","92.5","430","166","402","138",57.5,"32",13.3,8.4
"Perez, Salvador","521692","240","18.7",39.2,"113.3","92","102.5","95.3","88.1","447","200","413","115",47.9,"32",13.3,9.6
"Rodríguez, Julio","677594","240","6.8",31.7,"114.5","91.2","103.4","95.3","88.4","435","146","418","114",47.5,"20",8.3,5.6
"Soto, Juan","665742","238","9.1",33.2,"115.7","94.4","105.7","99.8","89.9","447","162","408","137",57.6,"44",18.5,11.9
"Machado, Manny","592518","238","11",31.9,"114.4","92.1","102.9","94.2","92.1","438","159","399","114",47.9,"19",8,5.8
"Tatis Jr., Fernando","665487","238","11",34.9,"116.7","93.2","103.8","97","89.3","446","171","411","128",53.8,"33",13.9,9.6
"Estrada, Thairo","642731","237","9.4",28.3,"108.6","86.5","97.8","92.9","82.4","409","142","391","80",33.8,"13",5.5,4.2
"Paredes, Isaac","670623","237","23.8",37.1,"106.6","84.9","95.5","89.4","79.1","415","182","371","61",25.7,"12",5.1,3.6
"Mountcastle, Ryan","663624","236","11.1",33.9,"113.5","91.5","102.6","95","89.4","443","167","399","115",48.7,"23",9.7,7.1
"Walker, Christian","572233","233","16.8",36.5,"113.9","91.1","103.3","96.3","87.6","464","192","415","111",47.6,"36",15.5,10.1
"Naylor, Josh","647304","232","11.5",34.5,"110.9","91","102","95.6","88.3","440","165","399","107",46.1,"27",11.6,8.3
"Chapman, Matt","656305","231","14.8",32,"114.1","92.2","103.7","96.1","90.4","428","166","406","109",47.4,"26",11.3,7.4
"Vaughn, Andrew","683734","230","16.7",35.2,"111.6","90.7","101","93.6","89.4","413","174","395","100",43.5,"20",8.7,6.2
"McNeil, Jeff","643446","230","15.4",32.6,"105.4","86.9","96.2","88.1","87.3","385","165","373","67",29.1,"3",1.3,1
"Bellinger, Cody","641355","230","18.5",33,"109.2","88.1","98.1","90.7","85","428","181","395","80",34.8,"15",6.5,4.9
"Steer, Spencer","668715","230","17",37,"108","88.5","99.5","93.4","84.9","439","185","394","95",41.3,"17",7.4,5
"Bichette, Bo","666182","228","7.4",31.6,"111.2","89.7","101.1","92.1","88.7","431","149","416","99",44,"10",4.4,3.3
"Torres, Gleyber","650402","227","18.3",34.8,"108.9","88.3","98.1","92.3","84.3","418","177","391","81",35.7,"14",6.2,4.1
"Arcia, Orlando","606115","227","10.8",28.6,"107.8","89.7","98.9","94.3","87.9","420","146","386","94",41.4,"11",4.8,3.6
"Springer, George","543807","226","9.3",33.2,"110.6","87.1","99.8","93.1","83.2","434","147","399","80",35.7,"17",7.5,5.3
"Westburg, Jordan","676059","226","13.1",39.4,"111.2","91.7","102.1","94.5","89.3","433","181","391","109",48.2,"24",10.6,7.5
"Burleson, Alec","676475","226","16",35,"108.3","90.2","99.9","94","86.6","416","168","389","94",41.8,"16",7.1,5.7
"Ozuna, Marcell","542303","225","15.6",40.9,"114.6","93","103.2","97.5","87","446","203","406","123",54.7,"41",18.2,11.8
"Schanuel, Nolan","694384","225","7.1",32.4,"103.9","85.9","95.2","89","84","410","141","380","60",26.7,"8",3.6,2.6
"Santana, Carlos","467793","225","15.5",31.6,"111.7","89","99.2","92.6","87.7","425","167","394","88",39.1,"16",7.1,5.3
"Kiner-Falefa, Isiah","643396","225","9.9",34.2,"107.9","85.1","95.8","89","82.4","399","156","378","60",26.9,"5",2.2,1.8
"Toro, Abraham","647351","225","13",36.9,"109.9","87.2","97.7","91.1","85.4","415","165","396","66",29.3,"12",5.3,4.1
"Ward, Taylor","621493","221","17",43,"108.7","91","100.6","94.3","85.5","422","206","394","96",43.4,"35",15.8,10.3
"García Jr., Luis","671277","221","7.8",32.1,"110.6","88.3","99.7","93.7","83.7","438","156","396","83",37.6,"17",7.7,6.1
"Morel, Christopher","666624","221","15.2",25.3,"111.4","89.9","102","94.1","88.8","446","153","407","99",44.8,"25",11.3,7.2
"Chisholm Jr., Jazz","665862","220","9.8",27.3,"110","89.4","100.1","95.2","87.5","440","147","412","85",38.8,"26",11.8,7.7
"Smith, Will","669257","220","20.1",40,"109.1","90","99.8","93.2","84.2","451","209","393","99",45,"24",10.9,8
"Hernández, Teoscar","606192","218","11.4",33.5,"112.7","91.8","102.9","96.3","88.4","431","173","396","108",49.5,"35",16.1,10
"Rizzo, Anthony","519203","218","14.8",29.4,"110.5","86.3","97.7","91.4","83.9","417","145","390","72",33,"9",4.1,3.1
"Stott, Bryson","681082","218","14.3",39,"108","86.4","96.9","90.9","82.3","402","168","390","64",29.4,"8",3.7,2.6
"Seager, Corey","608369","218","13",35.8,"113.3","91.4","103.1","95.2","87.6","422","184","390","108",49.5,"33",15.1,10.6
"Harper, Bryce","547180","217","13.4",38.2,"112.5","91.3","102.9","95.1","85.7","427","194","391","104",47.9,"27",12.4,8
"Meneses, Joey","608841","216","8.1",30.6,"114.2","89","99.5","93.4","86.7","393","153","383","86",39.8,"10",4.6,3.3
"García, Adolis","666969","216","14.1",35.6,"116.1","91.2","102.2","95.8","87.8","428","177","393","102",47.2,"31",14.4,9.3
"Doyle, Brenton","686668","216","11.8",33.8,"109.8","88.9","100.9","92.7","85","445","167","412","87",40.3,"19",8.8,5.8
"Goldschmidt, Paul","502671","216","13.2",35.6,"111.4","91.6","101.9","96.6","86.7","432","173","402","107",49.8,"21",9.7,6
"Olson, Matt","621566","215","15.7",35.3,"113.9","91.7","102.6","95.1","88.2","432","185","400","101",47,"22",10.2,6.4
"Greene, Riley","682985","214","11",36.4,"112.1","91.1","101.9","95.6","86.1","426","174","387","102",47.7,"28",13.1,8
"Castro, Willi","650489","214","12.1",37.9,"112.3","88.1","99.6","91.1","85.1","432","171","404","86",40.2,"16",7.5,4.8
"Winn, Masyn","691026","214","15.9",41.1,"108.4","86.1","97.3","88.9","85.8","402","164","382","62",29,"5",2.3,1.7
"McMahon, Ryan","641857","214","9.8",37.4,"113","93.6","103.8","97.5","89.7","462","171","415","114",53.3,"28",13.1,7.9
"Judge, Aaron","592450","210","18.2",40.5,"116.1","97","107.9","100.7","91.2","473","218","410","133",63.3,"61",29,16.5
"Kwan, Steven","680757","209","13.8",42.6,"104.3","86.2","94.8","87.5","85.4","424","172","384","45",21.5,"4",1.9,1.6
