"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Newman, Kevin","621028","151","10.4",22.5,"104.7","85.8","95.3","87.6","86.4","398","125","394","37",24.5,"3",2,1.6
"Garver, Mitch","641598","150","14.1",33.3,"107.9","89.3","100","95","83.9","412","173","391","61",40.7,"14",9.3,5.1
"Tellez, Rowdy","642133","150","14",30.7,"115.5","89.7","101.7","92.2","89.5","425","160","403","60",40,"9",6,4.2
"Busch, Michael","683737","150","18.1",42.7,"109","88.7","99.7","94.4","81.5","437","189","406","56",37.3,"18",12,6.4
"Pham, Tommy","502054","149","13.1",36.2,"112.4","91.1","100.1","93","90.7","413","166","388","58",38.9,"8",5.4,3.8
"Palacios, Richie","680700","149","16.9",40.3,"107.8","87.2","97.1","90","84.9","394","172","385","46",30.9,"7",4.7,3
"Bogaerts, Xander","593428","148","12.9",37.2,"111.3","86.2","97.5","90.9","81.9","424","159","400","46",31.1,"10",6.8,5
"Ramírez, Harold","623912","148","0.5",27,"109","86.6","98.2","89.6","86","406","119","392","50",33.8,"5",3.4,2.6
"Realmuto, J.T.","592663","148","9.3",35.1,"109.2","89.4","101.6","95.4","84.3","421","157","391","72",48.6,"16",10.8,7.2
"Gelof, Zack","680869","147","13.1",33.3,"108.3","89.5","98.5","94.4","85.9","436","153","404","53",36.1,"13",8.8,5.1
"Velázquez, Nelson","676369","147","17.4",29.9,"111","88.2","99.4","93.4","82.1","437","179","413","56",38.1,"13",8.8,5.7
"Báez, Javier","595879","147","10.9",27.9,"111.1","88.6","100.6","92.1","86.9","399","145","399","59",40.4,"9",6.1,4.6
"Martinez, J.D.","502110","146","14.3",41.1,"109.4","90.9","101.7","95.7","85.4","430","190","404","68",46.9,"27",18.5,11.3
"Moore, Dylan","664238","146","23.5",37,"109.1","90","100.3","93.7","85.9","429","208","390","61",41.8,"14",9.6,5.6
"Senzel, Nick","669222","144","14.7",37.5,"106.9","84.5","96.1","89.5","81.9","415","159","400","41",28.5,"10",6.9,4.4
"Pederson, Joc","592626","142","14.7",35.2,"114.1","92.1","102.7","95.5","90","434","168","408","68",47.9,"16",11.3,6.8
"Lee, Korey","686676","141","7.9",31.9,"110","87.4","99.8","92.5","84.5","436","148","408","56",39.7,"10",7.1,4.7
"Acuña Jr., Ronald","660670","139","8.5",31.7,"114.2","92.2","103.1","95.2","90.6","461","145","415","67",48.2,"13",9.4,5.9
"Raley, Luke","670042","139","11.5",30.9,"113.6","89.2","100.6","93.9","85.8","432","155","382","57",41,"11",7.9,5
"Moniak, Mickey","666160","138","19.6",27.5,"111","86.6","98.5","92.9","80.4","428","171","409","43",31.2,"10",7.2,4.7
"Margot, Manuel","622534","138","13.1",31.9,"111.2","88.8","100.2","92.1","88.4","419","162","418","54",39.1,"9",6.5,4.9
"Abreu, Wilyer","677800","137","18.3",31.4,"114.4","90.3","100.9","92.7","89","421","181","399","65",47.8,"14",10.2,6.6
"Larnach, Trevor","663616","137","13.4",35.8,"113.2","92.2","102.1","93.5","91.8","441","174","411","60",43.8,"14",10.2,7.7
"Siri, Jose","642350","136","15.6",37.5,"111","88.7","100.9","96.5","78.4","452","191","416","56",41.2,"21",15.4,8.3
"Hernández, Enrique","571771","135","15.2",35.6,"112.7","91","99.7","93.3","88.8","431","176","396","59",43.7,"6",4.4,3.2
"Duran, Ezequiel","677649","134","7",27.6,"109.6","87.3","98.8","90.9","85.9","401","140","397","49",36.8,"4",3,2.1
"Marsh, Brandon","669016","134","11.9",48.5,"110.1","92.4","101.3","94.9","89","403","192","385","69",51.5,"11",8.2,4.7
"Fry, David","681807","134","17.9",39.6,"108.5","89.3","99.5","91.6","87.7","424","176","379","56",41.8,"10",7.5,4.7
"Herrera, Iván","671056","133","9.8",38.3,"112.4","88.7","100","91.2","86.9","432","165","407","54",40.6,"12",9,6.3
"Olivares, Edward","658668","133","8.9",36.8,"109.9","86.6","98.5","88.1","87.5","424","138","404","46",34.6,"9",6.8,4.8
"Jansen, Danny","643376","133","23.6",39.1,"106.7","88.5","98.8","92.5","82.3","395","205","379","49",37.1,"11",8.3,5.9
"Ramos, Heliot","671218","133","8.1",32.3,"109.3","92.5","103.8","96.7","89.3","424","165","408","70",53,"22",16.5,10.4
"Suwinski, Jack","669261","133","14",27.1,"111","88","100.4","90.3","87","459","150","397","49",36.8,"9",6.8,4.1
"Yastrzemski, Mike","573262","133","20.8",27.8,"108.2","89.8","99.7","94.6","83.9","404","174","375","55",41.7,"13",9.8,6
"Amaya, Miguel","665804","132","8.3",30.3,"111.2","89.1","99.9","91","88.7","405","139","378","49",37.1,"4",3,2.1
"O'Neill, Tyler","641933","132","20.9",34.1,"113.1","91.5","103.3","97.7","85.7","448","186","408","67",50.8,"22",16.7,9.1
"Benson, Will","666181","130","16.2",36.9,"110.7","88.8","100.3","94.2","81.9","439","183","397","55",42.3,"16",12.3,6
"Siani, Michael","672279","129","6.2",32.6,"104.8","85","95.7","90","82.2","396","123","382","27",21.1,"5",3.9,2.7
"Duvall, Adam","594807","129","23.6",31,"109.6","88.2","100.4","93.6","81.9","428","191","413","51",39.5,"16",12.4,7.7
"Taylor, Tyrone","621438","128","17.1",29.7,"110.7","87.5","99.9","94.5","82.8","406","163","394","49",38.3,"11",8.6,6.3
"Schuemann, Max","680474","128","16.6",36.7,"105.4","90.1","97.8","92.4","87.9","403","184","391","46",35.9,"10",7.8,4.8
"Singleton, Jon","572138","126","9.5",31.7,"115.4","89.5","100.8","93","86.2","442","158","404","51",40.5,"9",7.1,4.3
"d'Arnaud, Travis","518595","126","11.5",34.9,"109.8","90.2","100.3","94.7","85.9","440","164","410","49",38.9,"13",10.3,7.1
"Gonzales, Nick","693304","125","15.6",38.4,"110.4","89.1","99.8","92.7","84.9","429","179","387","51",40.8,"13",10.4,7.3
"Hamilton, David","666152","121","13.5",43,"105.4","88.2","98.4","90.9","83","406","189","386","42",34.7,"6",5,3.4
"Kirilloff, Alex","666135","115","13.2",27,"107.1","91.3","100.3","96.5","88","402","170","387","47",40.9,"13",11.3,7.3
"Polanco, Jorge","593871","114","17.5",28.1,"109.9","87","99.5","92.3","78.9","418","172","390","44",38.6,"8",7,4
"Brown, Seth","664913","114","18.5",36.8,"110.9","87.6","98.8","92.8","83.2","445","176","406","39",34.2,"9",7.9,4.6
"Naylor, Bo","666310","113","21.8",35.4,"107.2","88.5","98.5","92.2","86.2","435","181","407","40",35.4,"7",6.2,3.6
"Bauers, Jake","641343","110","23.3",43.6,"110.1","89.9","100.4","93.2","84.5","444","201","404","49",44.5,"12",10.9,6.1
"Taylor, Michael A.","572191","104","13.2",28.8,"111.3","88.9","99.9","93.4","85.1","406","158","349","39",37.5,"8",7.7,4.5
"Julien, Edouard","666397","103","12.9",35.9,"106.9","88.9","99.2","95.7","80.5","412","179","382","40",38.8,"12",11.7,6.2
